doc_template_code,biz_category,biz_system,sales_type,biz_process,biz_event,account_event_category,account_event,text_kor,text_eng,is_active,biz_event_order,document_type,processing_type,order_item_status,charge_status,contract_status,service_flow_status,logistics_status
FLEASE_CUSTOMER_BILLING,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,CUSTOMER_PAYMENT,CUSTOMER_BILLING,ACCOUNT_RECEIVABLE,CUSTOMER_BILLING,[금융리스] 청구,,Y,1,CUSTOMER_INVOICE,AUTO,,,,,
FLEASE_PAYMENT_RECEIVED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,CUSTOMER_PAYMENT,PAYMENT_RECEIVED,ACCOUNT_RECEIVABLE,PAYMENT_RECEIVED,[금융리스] 수납,,Y,2,CUSTOMER_PAYMENT,AUTO,,,,,
FLEASE_DEPOSIT_RECEIVED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,CUSTOMER_PAYMENT,DEPOSIT_RECEIVED,ACCOUNT_RECEIVABLE,DEPOSIT_RECEIVED,[금융리스] 입금,,Y,3,CUSTOMER_PAYMENT,AUTO,,,,,
FLEASE_DEPRECIATION,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,DEPRECIATION,DEPRECIATION_PROCESSED,REVENUE,CUSTOMER_INTEREST_INCOME,[금융리스:상각] 금융리스상각,,Y,1,CUSTOMER_INTERESTS,AUTO,,,,,
FLEASE_FILTER_SHIPPED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,SERVICE_SALES,FILTER_SHIPPED,REVENUE,SERVICE_RECOGNITION_RECEIVED,[금융리스:서비스매출] 필터배송,,Y,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_REPLACEMENT_RECEIVED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,REPLACEMENT,REPLACEMENT_RECEIVED,,,[금융리스:교환] 교환접수,,Y,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_REPLACEMENT_PRODUCT_SHIPPED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,REPLACEMENT,PRODUCT_SHIPPED,LOGISTICS,GOODS_ISSUE,[금융리스:교환] 교환출고,,Y,2,GOODS_ISSUE,AUTO,,,,,
FLEASE_REPLACEMENT_INSTALLATION_COMPLETED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,REPLACEMENT,INSTALLATION_COMPLETED,COGS,COGS_RECOGNITION,[금융리스:교환] 설치완료,,Y,3,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_REPLACEMENT_PRODUCT_RECEIPT,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,REPLACEMENT,PRODUCT_RECEIVED,LOGISTICS,GOODS_RECEIPT,[금융리스:교환] 반환입고,,Y,4,GOODS_RECEIPT,AUTO,,,,,
FLEASE_REPLACEMENT_INVENTORY_PRICE_DIFFERENCE,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,REPLACEMENT,REPLACEMENT_COMPLETED,INVENTORY_VALUATION,PRICE_DIFFERENCE,[금융리스:교환] 교환완료- 재고가액 확정,,Y,5,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_REPLACEMENT_GRADE_B_INVENTORY_DISPOSED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,REPLACEMENT,B_GRADE_INVENTORY_DISPOSED,LOGISTICS,INVENTORY_DISPOSED,[금융리스:교환] B급 재고자산 폐기,,Y,6,GOODS_ISSUE,AUTO,,,,,
FLEASE_CONTRACT_TERMINATION_RECEIVED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,CONTRACT_TERMINATION,CONTRACT_TERMINATION_RECEIVED,,,[금융리스:해지] 해지접수,,Y,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_CONTRACT_TERMINATION_DISMANTLING,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,CONTRACT_TERMINATION,AS_DISMANTLING,,,[금융리스:해지] 해체확정,,Y,2,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_CONTRACT_TERMINATION_PRODUCT_RECEIPT,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,CONTRACT_TERMINATION,PRODUCT_RECEIVED,LOGISTICS,GOODS_RECEIPT,[금융리스:해지] 반환입고,,Y,3,GOODS_RECEIPT,AUTO,,,,,
FLEASE_CONTRACT_TERMINATION_COMPLETED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,CONTRACT_TERMINATION,CONTRACT_TERMINATION_COMPLETED,EXPENSE,CONTRACT_TERMINATION_LOSS,[금융리스:해지] 해지완료,,Y,4,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_CONTRACT_TERMINATION_GRADE_B_INVENTORY_DISPOSED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,CONTRACT_TERMINATION,B_GRADE_INVENTORY_DISPOSED,LOGISTICS,INVENTORY_DISPOSED,[금융리스:해지] B급 재고자산 폐기,,Y,5,GOODS_ISSUE,AUTO,,,,,
FLEASE_RECEIVABLE_OVERDUE,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,RECEIVABLES,RECEIVABLES_OVERDUE,ACCOUNT_RECEIVABLE,CUSTOMER_BILLING,[금융리스:채권] 연체,,Y,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_RECEIVABLE_BREACHED_CONTRACT_REGISTERED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,RECEIVABLES,BREACHED_CONTRACT_REGISTERED,,,[금융리스:채권] 가해약 등록,,N,2,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_RECEIVABLE_BREACHED_CONTRACT_CANCELLED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,RECEIVABLES,BREACHED_CONTRACT_CANCELLED,,,[금융리스:채권] 가해약 취소,,N,3,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_RECEIVABLE_TRANSFER_TO_COLLECTION,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,RECEIVABLES,TRANSFER_TO_COLLECTION,ACCOUNT_RECEIVABLE,TRANSFER_TO_COLLECTION,[금융리스:채권] 추심전환,,Y,4,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_RECEIVABLE_COLLECTION_RECOVERED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,RECEIVABLES,COLLECTION_RECOVERED,ACCOUNT_RECEIVABLE,RECEIVABLES_COLLECTION,[금융리스:채권] 추심회수,,Y,5,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_AS_REPAIR,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,AFTER_SERVICE,AS_REPAIR,,,[금융리스:AS] 수리-단순방문,,N,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_AS_REPAIR_REPLACEMENT_PART,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,AFTER_SERVICE,AS_REPAIR,,,[금융리스:AS] 수리-부품교체,,N,2,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_AS_RELOCATION,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,AFTER_SERVICE,AS_RELOCATION,,,[금융리스:AS] 이사,,N,3,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_AS_REINSTALL,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,AFTER_SERVICE,AS_REINSTALL,,,[금융리스:AS] 이전설치,,N,4,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_AS_DISMANTLING,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,AFTER_SERVICE,AS_DISMANTLING,,,[금융리스:AS] 해체,,N,5,ACCOUNTING_DOCUMENT,AUTO,,,,,
